kr,method,total,VQA-RAD,SLAKE,PathVQA,PMC-VQA,OmniMed,MMMU,mean_latency_ms,p95_latency_ms,visual_post_prune
1.00,baseline,0.6787,0.6135,0.7644,0.5767,0.5420,0.7346,0.5034,,,576
0.75,qsim_max,0.6504,0.5458,0.7380,0.5654,0.4900,0.7063,0.4759,151.93,355.69,432.0
0.75,qsim_mean,0.6662,0.6175,0.7572,0.5720,0.4970,0.7253,0.4759,150.17,348.49,432.0
0.75,random,0.6746,0.6096,0.7716,0.5696,0.5330,0.7318,0.5034,150.08,346.58,432.0
0.50,qsim_max,0.6348,0.5458,0.7188,0.5553,0.4760,0.6880,0.4966,140.00,317.40,288.0
0.50,qsim_mean,0.6538,0.5697,0.7764,0.5595,0.4880,0.7118,0.4759,135.58,309.66,288.0
0.50,random,0.6730,0.5896,0.7572,0.5812,0.5235,0.7284,0.5103,143.66,327.84,288.0
0.25,qsim_max,0.6113,0.5697,0.7284,0.5503,0.4445,0.6580,0.4759,131.01,302.59,144.0
0.25,qsim_mean,0.6293,0.5657,0.7572,0.5509,0.4685,0.6807,0.4621,131.96,310.88,144.0
0.25,random,0.6570,0.5697,0.7212,0.5764,0.4925,0.7122,0.5241,122.54,279.96,144.0
0.10,qsim_max,0.5844,0.5179,0.7019,0.5387,0.4305,0.6242,0.4897,126.02,291.48,58.0
0.10,qsim_mean,0.6046,0.5498,0.7212,0.5452,0.4525,0.6485,0.4690,129.54,298.19,58.0
0.10,random,0.6357,0.5538,0.7404,0.5699,0.4595,0.6870,0.4966,125.66,282.92,58.0
